x_relative_pos_mm,y_relative_pos_mm,z_relative_pos_mm,name,,,,,,,,
34.8475,-20.948,-10,h1,,-116.695,-9.104,,,,-116.695,-9.104
34.8475,-14.9629,-10,g1,,-116.695,-15.0891,,,,-116.695,-15.0891
34.8475,-8.9777,-10,f1,,-116.695,-21.0743,,,,-116.695,-21.0743
34.8475,-2.9926,-10,e1,,-116.695,-27.0594,,,,-116.695,-27.0594
34.8475,2.9926,-10,d1,,-116.695,-33.0446,,,,-116.695,-33.0446
34.8475,8.9777,-10,c1,,-116.695,-39.0297,,,,-116.695,-39.0297
34.8475,14.9629,-10,b1,,-116.695,-45.0149,,,,-116.695,-45.0149
34.8475,20.948,-10,a1,,-116.695,-51,,,,-116.695,-51
28.5116,-20.948,-10,h2,,-110.3591,-9.104,,,,-110.3591,-9.104
28.5116,-14.9629,-10,g2,,-110.3591,-15.0891,,,,-110.3591,-15.0891
28.5116,-8.9777,-10,f2,,-110.3591,-21.0743,,,,-110.3591,-21.0743
28.5116,-2.9926,-10,e2,,-110.3591,-27.0594,,,,-110.3591,-27.0594
28.5116,2.9926,-10,d2,,-110.3591,-33.0446,,,,-110.3591,-33.0446
28.5116,8.9777,-10,c2,,-110.3591,-39.0297,,,,-110.3591,-39.0297
28.5116,14.9629,-10,b2,,-110.3591,-45.0149,,,,-110.3591,-45.0149
28.5116,20.948,-10,a2,,-110.3591,-51,,,,-110.3591,-51
22.1757,-20.948,-10,h3,,-104.0232,-9.104,,,,-104.0232,-9.104
22.1757,-14.9629,-10,g3,,-104.0232,-15.0891,,,,-104.0232,-15.0891
22.1757,-8.9777,-10,f3,,-104.0232,-21.0743,,,,-104.0232,-21.0743
22.1757,-2.9926,-10,e3,,-104.0232,-27.0594,,,,-104.0232,-27.0594
22.1757,2.9926,-10,d3,,-104.0232,-33.0446,,,,-104.0232,-33.0446
22.1757,8.9777,-10,c3,,-104.0232,-39.0297,,,,-104.0232,-39.0297
22.1757,14.9629,-10,b3,,-104.0232,-45.0149,,,,-104.0232,-45.0149
22.1757,20.948,-10,a3,,-104.0232,-51,,,,-104.0232,-51
15.8398,-20.948,-10,h4,,-97.6873,-9.104,,,,-97.6873,-9.104
15.8398,-14.9629,-10,g4,,-97.6873,-15.0891,,,,-97.6873,-15.0891
15.8398,-8.9777,-10,f4,,-97.6873,-21.0743,,,,-97.6873,-21.0743
15.8398,-2.9926,-10,e4,,-97.6873,-27.0594,,,,-97.6873,-27.0594
15.8398,2.9926,-10,d4,,-97.6873,-33.0446,,,,-97.6873,-33.0446
15.8398,8.9777,-10,c4,,-97.6873,-39.0297,,,,-97.6873,-39.0297
15.8398,14.9629,-10,b4,,-97.6873,-45.0149,,,,-97.6873,-45.0149
15.8398,20.948,-10,a4,,-97.6873,-51,,,,-97.6873,-51
9.5039,-20.948,-10,h5,,-91.3514,-9.104,,,,-91.3514,-9.104
9.5039,-14.9629,-10,g5,,-91.3514,-15.0891,,,,-91.3514,-15.0891
9.5039,-8.9777,-10,f5,,-91.3514,-21.0743,,,,-91.3514,-21.0743
9.5039,-2.9926,-10,e5,,-91.3514,-27.0594,,,,-91.3514,-27.0594
9.5039,2.9926,-10,d5,,-91.3514,-33.0446,,,,-91.3514,-33.0446
9.5039,8.9777,-10,c5,,-91.3514,-39.0297,,,,-91.3514,-39.0297
9.5039,14.9629,-10,b5,,-91.3514,-45.0149,,,,-91.3514,-45.0149
9.5039,20.948,-10,a5,,-91.3514,-51,,,,-91.3514,-51
3.168,-20.948,-10,h6,,-85.0155,-9.104,,,,-85.0155,-9.104
3.168,-14.9629,-10,g6,,-85.0155,-15.0891,,,,-85.0155,-15.0891
3.168,-8.9777,-10,f6,,-85.0155,-21.0743,,,,-85.0155,-21.0743
3.168,-2.9926,-10,e6,,-85.0155,-27.0594,,,,-85.0155,-27.0594
3.168,2.9926,-10,d6,,-85.0155,-33.0446,,,,-85.0155,-33.0446
3.168,8.9777,-10,c6,,-85.0155,-39.0297,,,,-85.0155,-39.0297
3.168,14.9629,-10,b6,,-85.0155,-45.0149,,,,-85.0155,-45.0149
3.168,20.948,-10,a6,,-85.0155,-51,,,,-85.0155,-51
-3.168,-20.948,-10,h7,,-78.6795,-9.104,,,,-78.6795,-9.104
-3.168,-14.9629,-10,g7,,-78.6795,-15.0891,,,,-78.6795,-15.0891
-3.168,-8.9777,-10,f7,,-78.6795,-21.0743,,,,-78.6795,-21.0743
-3.168,-2.9926,-10,e7,,-78.6795,-27.0594,,,,-78.6795,-27.0594
-3.168,2.9926,-10,d7,,-78.6795,-33.0446,,,,-78.6795,-33.0446
-3.168,8.9777,-10,c7,,-78.6795,-39.0297,,,,-78.6795,-39.0297
-3.168,14.9629,-10,b7,,-78.6795,-45.0149,,,,-78.6795,-45.0149
-3.168,20.948,-10,a7,,-78.6795,-51,,,,-78.6795,-51
-9.5039,-20.948,-10,h8,,-72.3436,-9.104,,,,-72.3436,-9.104
-9.5039,-14.9629,-10,g8,,-72.3436,-15.0891,,,,-72.3436,-15.0891
-9.5039,-8.9777,-10,f8,,-72.3436,-21.0743,,,,-72.3436,-21.0743
-9.5039,-2.9926,-10,e8,,-72.3436,-27.0594,,,,-72.3436,-27.0594
-9.5039,2.9926,-10,d8,,-72.3436,-33.0446,,,,-72.3436,-33.0446
-9.5039,8.9777,-10,c8,,-72.3436,-39.0297,,,,-72.3436,-39.0297
-9.5039,14.9629,-10,b8,,-72.3436,-45.0149,,,,-72.3436,-45.0149
-9.5039,20.948,-10,a8,,-72.3436,-51,,,,-72.3436,-51
-15.8398,-20.948,-10,h9,,-66.0077,-9.104,,,,-66.0077,-9.104
-15.8398,-14.9629,-10,g9,,-66.0077,-15.0891,,,,-66.0077,-15.0891
-15.8398,-8.9777,-10,f9,,-66.0077,-21.0743,,,,-66.0077,-21.0743
-15.8398,-2.9926,-10,e9,,-66.0077,-27.0594,,,,-66.0077,-27.0594
-15.8398,2.9926,-10,d9,,-66.0077,-33.0446,,,,-66.0077,-33.0446
-15.8398,8.9777,-10,c9,,-66.0077,-39.0297,,,,-66.0077,-39.0297
-15.8398,14.9629,-10,b9,,-66.0077,-45.0149,,,,-66.0077,-45.0149
-15.8398,20.948,-10,a9,,-66.0077,-51,,,,-66.0077,-51
-22.1757,-20.948,-10,h10,,-59.6718,-9.104,,,,-59.6718,-9.104
-22.1757,-14.9629,-10,g10,,-59.6718,-15.0891,,,,-59.6718,-15.0891
-22.1757,-8.9777,-10,f10,,-59.6718,-21.0743,,,,-59.6718,-21.0743
-22.1757,-2.9926,-10,e10,,-59.6718,-27.0594,,,,-59.6718,-27.0594
-22.1757,2.9926,-10,d10,,-59.6718,-33.0446,,,,-59.6718,-33.0446
-22.1757,8.9777,-10,c10,,-59.6718,-39.0297,,,,-59.6718,-39.0297
-22.1757,14.9629,-10,b10,,-59.6718,-45.0149,,,,-59.6718,-45.0149
-22.1757,20.948,-10,a10,,-59.6718,-51,,,,-59.6718,-51
-28.5116,-20.948,-10,h11,,-53.3359,-9.104,,,,-53.3359,-9.104
-28.5116,-14.9629,-10,g11,,-53.3359,-15.0891,,,,-53.3359,-15.0891
-28.5116,-8.9777,-10,f11,,-53.3359,-21.0743,,,,-53.3359,-21.0743
-28.5116,-2.9926,-10,e11,,-53.3359,-27.0594,,,,-53.3359,-27.0594
-28.5116,2.9926,-10,d11,,-53.3359,-33.0446,,,,-53.3359,-33.0446
-28.5116,8.9777,-10,c11,,-53.3359,-39.0297,,,,-53.3359,-39.0297
-28.5116,14.9629,-10,b11,,-53.3359,-45.0149,,,,-53.3359,-45.0149
-28.5116,20.948,-10,a11,,-53.3359,-51,,,,-53.3359,-51
-34.8475,-20.948,-10,h12,,-47,-9.104,,,,-47,-9.104
-34.8475,-14.9629,-10,g12,,-47,-15.0891,,,,-47,-15.0891
-34.8475,-8.9777,-10,f12,,-47,-21.0743,,,,-47,-21.0743
-34.8475,-2.9926,-10,e12,,-47,-27.0594,,,,-47,-27.0594
-34.8475,2.9926,-10,d12,,-47,-33.0446,,,,-47,-33.0446
-34.8475,8.9777,-10,c12,,-47,-39.0297,,,,-47,-39.0297
-34.8475,14.9629,-10,b12,,-47,-45.0149,,,,-47,-45.0149
-34.8475,20.948,-10,a12,,-47,-51,,-47,-51,-47,-51
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,-81.8475,-30.052,,,,,
